Table archaeological_layer_age
archlayer_idlocality;archlayer_name;laboratory_idlaboratory;analysis_number;age;positive_standard_deviation;negative_standard_deviation;dating_method;material_dated;date_of_analysis;comments;owner;created;mod_history
Abri I am Schulerloch;AH m;H;H-AS;51400;4500;4500;TL (thermoluminescence) dating;lithic burnt;1998;after Böhner 2008, tab. 31; Institute for archaeometry, Heidelberg; Sample AS, Inv.-Nr. 83H6-S2;Julia Lutz;01.10.2020;Julia Lutz  01.10.20;
Abri Pié Lombard;Middle Paleolithic;Gif;;73800;9600;9600;TL (thermoluminescence) dating;lithic burnt;1985;dating from mid 1980s. sample no.: PL 3 from subunit e.;Klaus Herkert;16.03.2021;Klaus Herkert  16.03.21;
Abri Pié Lombard;Middle Paleolithic;Gif;;67000;8100;8100;TL (thermoluminescence) dating;lithic burnt;1985;dating from mid 1980s. sample no.: PL 4 from subunit e.;Klaus Herkert;16.03.2021;Klaus Herkert  16.03.21;
Arcy-sur-Cure - Grotte du Renne;Layer IX;EVA;EVA-34;40520;389;389;14C (radiocarbon) dating;bone;2012;modified bone. sample from sublayer IXb.;andrew;04.12.2019;Klaus Herkert  04.12.19; andrew  13.03.20;
Arcy-sur-Cure - Grotte du Renne;Layer IX;EVA;EVA-33;40970;424;424;14C (radiocarbon) dating;bone;2012;modified bone. sample from sublayer IXb.;andrew;04.12.2019;Klaus Herkert  04.12.19; andrew  13.03.20;
Arcy-sur-Cure - Grotte du Renne;Layer V;OxA;OxA-21567;23070;210;210;14C (radiocarbon) dating;antler;2010;bâton percé/bâton de commandement;andrew;04.12.2019;Klaus Herkert  04.12.19; andrew  12.03.20;
Arcy-sur-Cure - Grotte du Renne;Layer V;OxA;OxA-21568;23157;210;210;14C (radiocarbon) dating;antler;2010;worked antler;andrew;04.12.2019;Klaus Herkert  04.12.19; andrew  12.03.20;
Arcy-sur-Cure - Grotte du Renne;Layer VII;OxA;OxA-21572;34600;750;750;14C (radiocarbon) dating;bone;2010;bone with cut marks;andrew;04.12.2019;Klaus Herkert  04.12.19; andrew  12.03.20;
Arcy-sur-Cure - Grotte du Renne;Layer VII;OxA;OxA-21571;34050;750;750;14C (radiocarbon) dating;bone;2010;bone with cut marks;andrew;04.12.2019;Klaus Herkert  04.12.19; andrew  12.03.20;
Arcy-sur-Cure - Grotte du Renne;Layer VII;OxA;OxA-21570;34600;800;800;14C (radiocarbon) dating;bone;2010;bone with cut marks;andrew;04.12.2019;Klaus Herkert  04.12.19; andrew  12.03.20;
Arcy-sur-Cure - Grotte du Renne;Layer VII;OxA;OxA-21569;36500;1300;1300;14C (radiocarbon) dating;bone;2010;bone with cut marks;andrew;04.12.2019;Klaus Herkert  04.12.19; andrew  12.03.20;
Arcy-sur-Cure - Grotte du Renne;Layer VII;EVA;EVA-81;33850;311;311;14C (radiocarbon) dating;bone;2012;modified bone;andrew;04.12.2019;Klaus Herkert  04.12.19; andrew  13.03.20;
Arcy-sur-Cure - Grotte du Renne;Layer VIII;EVA;EVA-56;37710;533;533;14C (radiocarbon) dating;bone;2012;modified bone;andrew;04.12.2019;Klaus Herkert  04.12.19; andrew  13.03.20;
