assemblage.name;assemblage.category;country_continent.continent;geological_stratigraphy.correlation;geological_stratigraphy.age_min;geological_stratigraphy.age_max;locality.idlocality;locality.x;locality.y
Abri du Facteur Unit 21 Fauna;animal remains, paleofauna;Europe;archaeological (cultural) stratigraphy;30000;43000;Abri du Facteur;1.055363;44.977295;
niveau 1;raw material, technology, typology;Europe;archaeological (cultural) stratigraphy, geology, stratigraphy;30000;70000;Abri du Maras;4.562827;44.312026;
niveau 2;raw material, technology, typology;Europe;geology, stratigraphy;30000;70000;Abri du Maras;4.562827;44.312026;
niveau 3;raw material, technology, typology;Europe;archaeological (cultural) stratigraphy, geology, stratigraphy;30000;70000;Abri du Maras;4.562827;44.312026;
niveau 4;raw material, technology, typology;Europe;archaeological (cultural) stratigraphy, geology, stratigraphy;30000;70000;Abri du Maras;4.562827;44.312026;
niveau 5;raw material, technology, typology;Europe;archaeological (cultural) stratigraphy, geology, stratigraphy;70000;95000;Abri du Maras;4.562827;44.312026;
niveau 6;raw material, technology, typology;Europe;archaeological (cultural) stratigraphy, geology, stratigraphy;80000;100000;Abri du Maras;4.562827;44.312026;
niveau 7;raw material, technology, typology;Europe;archaeological (cultural) stratigraphy, geology, stratigraphy;80000;100000;Abri du Maras;4.562827;44.312026;
niveau 8;raw material, technology, typology;Europe;archaeological (cultural) stratigraphy, geology, stratigraphy;80000;100000;Abri du Maras;4.562827;44.312026;
Loess ancien inf., Avifauna;paleofauna;Europe;geology, stratigraphy;337000;374000;Achenheim;7.624766;48.578703;
Loess ancien inf., Fauna;paleofauna;Europe;geology, stratigraphy;337000;374000;Achenheim;7.624766;48.578703;
Loess ancien inf., Malacofauna;paleofauna;Europe;geology, stratigraphy;337000;374000;Achenheim;7.624766;48.578703;
Loess ancien inf., Micromammals;paleofauna;Europe;geology, stratigraphy;337000;374000;Achenheim;7.624766;48.578703;
Loess ancien moyen, Avifauna;paleofauna;Europe;geology, stratigraphy;243000;337000;Achenheim;7.624766;48.578703;
Loess ancien moyen, Fauna;paleofauna;Europe;geology, stratigraphy;243000;337000;Achenheim;7.624766;48.578703;
Loess ancien moyen, Malacofauna;paleofauna;Europe;geology, stratigraphy;243000;337000;Achenheim;7.624766;48.578703;
Loess ancien moyen, Micromammals;paleofauna;Europe;geology, stratigraphy;243000;337000;Achenheim;7.624766;48.578703;
Loess ancien sup., Avifauna;paleofauna;Europe;geology, stratigraphy;130000;300000;Achenheim;7.624766;48.578703;
Loess ancien sup., Fauna;paleofauna;Europe;geology, stratigraphy;130000;300000;Achenheim;7.624766;48.578703;
Loess ancien sup., Micromammals;paleofauna;Europe;geology, stratigraphy;130000;300000;Achenheim;7.624766;48.578703;
Loess recent, Fauna;paleofauna;Europe;geology, stratigraphy;11700;29000;Achenheim;7.624766;48.578703;
Loess recent, Fauna;paleofauna;Europe;geology, stratigraphy;29000;71000;Achenheim;7.624766;48.578703;
Loess recent, Malacofauna;paleofauna;Europe;geology, stratigraphy;11700;29000;Achenheim;7.624766;48.578703;
Loess recent, Malacofauna;paleofauna;Europe;geology, stratigraphy;29000;71000;Achenheim;7.624766;48.578703;
Loess recent, Micromammals;paleofauna;Europe;geology, stratigraphy;11700;29000;Achenheim;7.624766;48.578703;
Loess recent, Micromammals;paleofauna;Europe;geology, stratigraphy;29000;71000;Achenheim;7.624766;48.578703;
level 14 (Wernert);raw material, technology, typology;Europe;geology, stratigraphy;71000;102500;Achenheim;7.624766;48.578703;
level 15 (Wernert);technology, typology;Europe;geology, stratigraphy;116500;191000;Achenheim;7.624766;48.578703;
level 16 (Wernert);raw material, technology, typology;Europe;geology, stratigraphy;130000;191000;Achenheim;7.624766;48.578703;
level 17 (Wernert);technology, typology;Europe;geology, stratigraphy;191000;243000;Achenheim;7.624766;48.578703;
level 17a (Wernert);typology;Europe;geology, stratigraphy;191000;243000;Achenheim;7.624766;48.578703;
level 18 (Wernert);raw material, technology, typology;Europe;geology, stratigraphy;243000;300000;Achenheim;7.624766;48.578703;
level 19 (Wernert);raw material, technology, typology;Europe;geology, stratigraphy;243000;300000;Achenheim;7.624766;48.578703;
level 20 (Wernert);raw material, technology, typology;Europe;geology, stratigraphy;243000;300000;Achenheim;7.624766;48.578703;
level 20(I) (Wernert);typology;Europe;geology, stratigraphy;243000;300000;Achenheim;7.624766;48.578703;
level 20(II) (Wernert);raw material, typology;Europe;geology, stratigraphy;243000;300000;Achenheim;7.624766;48.578703;
level 20(III) (Wernert);typology;Europe;geology, stratigraphy;243000;300000;Achenheim;7.624766;48.578703;
level 20a (Wernert);technology, typology;Europe;geology, stratigraphy;243000;337000;Achenheim;7.624766;48.578703;
level 20b (Wernert);typology;Europe;geology, stratigraphy;337000;374000;Achenheim;7.624766;48.578703;
level 20c (Wernert);typology;Europe;geology, stratigraphy;337000;374000;Achenheim;7.624766;48.578703;
level 20e (Wernert);typology;Europe;geology, stratigraphy;374000;424000;Achenheim;7.624766;48.578703;
level 8 (Wernert);raw material, typology;Europe;geology, stratigraphy;24000;57000;Achenheim;7.624766;48.578703;
level 9 (Wernert);typology;Europe;geology, stratigraphy;29000;57000;Achenheim;7.624766;48.578703;
pollen sample A;plant remains;Europe;geology, stratigraphy;116500;191000;Achenheim;7.624766;48.578703;
pollen sample B;plant remains;Europe;geology, stratigraphy;116500;191000;Achenheim;7.624766;48.578703;
pollen sample C;plant remains;Europe;geology, stratigraphy;71000;102500;Achenheim;7.624766;48.578703;
pollen sample D;plant remains;Europe;geology, stratigraphy;71000;102500;Achenheim;7.624766;48.578703;
pollen sample E;plant remains;Europe;geology, stratigraphy;71000;102500;Achenheim;7.624766;48.578703;
pollen sample F;plant remains;Europe;geology, stratigraphy;71000;102500;Achenheim;7.624766;48.578703;
pollen sample G;plant remains;Europe;geology, stratigraphy;29000;71000;Achenheim;7.624766;48.578703;
pollen sample H;plant remains;Europe;geology, stratigraphy;29000;71000;Achenheim;7.624766;48.578703;
Adrar Bous Eolian Sands S110 Archaeological Assemblage;raw material, technology, typology;Africa;archaeological (cultural) stratigraphy, oxygen isotope stratigraphy;40000;150000;Adrar Bous;8.95;20.3;
Adrar Bous Eolian Sands S112-116 Archaeological Assemblage;raw material, technology, typology;Africa;archaeological (cultural) stratigraphy, oxygen isotope stratigraphy;40000;150000;Adrar Bous;8.95;20.3;
Adrar Bous Eolian Sands S123 Archaeological Assemblage;raw material, technology, typology;Africa;archaeological (cultural) stratigraphy, oxygen isotope stratigraphy;40000;150000;Adrar Bous;8.95;20.3;
Adrar Bous Eolian Sands S139 Archaeological Assemblage;raw material, technology, typology;Africa;archaeological (cultural) stratigraphy, oxygen isotope stratigraphy;40000;150000;Adrar Bous;8.95;20.3;
Adrar Bous Eolian Sands S140 Archaeological Assemblage;raw material, technology, typology;Africa;archaeological (cultural) stratigraphy, oxygen isotope stratigraphy;40000;150000;Adrar Bous;8.95;20.3;
Adrar Bous Eolian Sands S144 Archaeological Assemblage;raw material, technology, typology;Africa;archaeological (cultural) stratigraphy, oxygen isotope stratigraphy;40000;150000;Adrar Bous;8.95;20.3;
Adrar Bous Eolian Sands S52 Archaeological Assemblage;raw material, technology, typology;Africa;archaeological (cultural) stratigraphy, oxygen isotope stratigraphy;40000;150000;Adrar Bous;8.95;20.3;
Adrar Bous Eolian Sands S89 Archaeological Assemblage;raw material, technology, typology;Africa;archaeological (cultural) stratigraphy, oxygen isotope stratigraphy;40000;150000;Adrar Bous;8.95;20.3;
Adrar Bous Green Loam S142 Archaeological Assemblage;raw material, technology, typology;Africa;archaeological (cultural) stratigraphy;40000;200000;Adrar Bous;8.95;20.3;
Adrar Bous Green Loam S146 Archaeological Assemblage;raw material, technology, typology;Africa;archaeological (cultural) stratigraphy;40000;200000;Adrar Bous;8.95;20.3;
Adrar Bous Green Loam S151 Archaeological Assemblage;raw material, technology, typology;Africa;archaeological (cultural) stratigraphy;40000;200000;Adrar Bous;8.95;20.3;
Adrar Bous Green Loam S157 Archaeological Assemblage;raw material, technology, typology;Africa;archaeological (cultural) stratigraphy;40000;200000;Adrar Bous;8.95;20.3;
Adrar Bous Lower Mottled Sand S120 Archaeological Assemblage;raw material, technology, typology;Africa;archaeological (cultural) stratigraphy;200000;800000;Adrar Bous;8.95;20.3;
