assemblage.name;assemblage.created;country_continent.continent;locality.idlocality;locality.country;locality.created;
090530-27;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
090530-28;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
090530-29;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
090530-3;19.09.2014;Asia;Ltsen-3;Armenia;07.02.2012;
090530-30;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
090530-31;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
090530-32;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
090530-33;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
090530-34;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
090530-35;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
090530-36;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
090530-37;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
090530-38;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
090530-39;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
090530-4;19.09.2014;Asia;Ltsen-3;Armenia;07.02.2012;
090530-41;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
090530-42;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
090530-43;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
090530-44;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
090530-45;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
090530-46;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
090530-48;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
090530-49;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
090530-5;19.09.2014;Asia;Ltsen-3;Armenia;07.02.2012;
090530-51;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
090530-53;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
090530-54;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
090530-56;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
090530-57;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
090530-6;19.09.2014;Asia;Ltsen-3;Armenia;07.02.2012;
090530-60;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
090530-62;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
090530-63;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
090530-65;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
090530-67;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
090530-69;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
090530-7;19.09.2014;Asia;Ltsen-3;Armenia;07.02.2012;
090530-70;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
090530-71;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
090530-73;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
090530-74;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
090530-76;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
090530-78;19.09.2014;Asia;Darbas-2;Armenia;07.02.2012;
090530-8;19.09.2014;Asia;Ltsen-3;Armenia;07.02.2012;
090530-9;19.09.2014;Asia;Ltsen-3;Armenia;07.02.2012;
090531-1;19.09.2014;Asia;Tolors-2;Armenia;07.02.2012;
090531-10;19.09.2014;Asia;Tolors-2;Armenia;07.02.2012;
090531-12;19.09.2014;Asia;Tolors-2;Armenia;07.02.2012;
090531-13;19.09.2014;Asia;Tolors-2;Armenia;07.02.2012;
090531-15;19.09.2014;Asia;Tolors-2;Armenia;07.02.2012;
090531-16;19.09.2014;Asia;Tolors-2;Armenia;07.02.2012;
090531-17;19.09.2014;Asia;Tolors-2;Armenia;07.02.2012;
090531-18;19.09.2014;Asia;Tolors-2;Armenia;07.02.2012;
090531-19;19.09.2014;Asia;Tolors-2;Armenia;07.02.2012;
090531-2;19.09.2014;Asia;Tolors-2;Armenia;07.02.2012;
090531-20;19.09.2014;Asia;Tolors-2;Armenia;07.02.2012;
090531-21;19.09.2014;Asia;Tolors-2;Armenia;07.02.2012;
090531-22;19.09.2014;Asia;Tolors-2;Armenia;07.02.2012;
090531-3;19.09.2014;Asia;Tolors-2;Armenia;07.02.2012;
090531-6;19.09.2014;Asia;Tolors-2;Armenia;07.02.2012;
090531-8;19.09.2014;Asia;Tolors-2;Armenia;07.02.2012;
090601-1;18.09.2014;Asia;Brnakot-1;Armenia;07.02.2012;
090601-10;18.09.2014;Asia;Brnakot-1;Armenia;07.02.2012;
090601-11;18.09.2014;Asia;Brnakot-1;Armenia;07.02.2012;
090601-12;18.09.2014;Asia;Brnakot-1;Armenia;07.02.2012;
090601-13;18.09.2014;Asia;Brnakot-1;Armenia;07.02.2012;
090601-14;18.09.2014;Asia;Brnakot-1;Armenia;07.02.2012;
090601-15;18.09.2014;Asia;Brnakot-1;Armenia;07.02.2012;
090601-16;18.09.2014;Asia;Brnakot-3;Armenia;07.02.2012;
090601-17;18.09.2014;Asia;Brnakot-3;Armenia;07.02.2012;
090601-18;18.09.2014;Asia;Brnakot-3;Armenia;07.02.2012;
090601-19;18.09.2014;Asia;Brnakot-3;Armenia;07.02.2012;
090601-2;18.09.2014;Asia;Brnakot-1;Armenia;07.02.2012;
090601-20;18.09.2014;Asia;Brnakot-3;Armenia;07.02.2012;
090601-21;18.09.2014;Asia;Brnakot-3;Armenia;07.02.2012;
090601-22;18.09.2014;Asia;Brnakot-3;Armenia;07.02.2012;
090601-23;18.09.2014;Asia;Brnakot-3;Armenia;07.02.2012;
090601-24;18.09.2014;Asia;Brnakot-3;Armenia;07.02.2012;
090601-25;18.09.2014;Asia;Brnakot-3;Armenia;07.02.2012;
090601-4;18.09.2014;Asia;Brnakot-1;Armenia;07.02.2012;
090601-6;18.09.2014;Asia;Brnakot-1;Armenia;07.02.2012;
090601-7;18.09.2014;Asia;Brnakot-1;Armenia;07.02.2012;
090601-8;18.09.2014;Asia;Brnakot-1;Armenia;07.02.2012;
AH III assemblage;26.11.2018;Asia;Aghitu-3 Cave;Armenia;16.08.2016;
AH IV assemblage;26.11.2018;Asia;Aghitu-3 Cave;Armenia;16.08.2016;
AH V assemblage;26.11.2018;Asia;Aghitu-3 Cave;Armenia;16.08.2016;
AH VI assemblage;26.11.2018;Asia;Aghitu-3 Cave;Armenia;16.08.2016;
AH VII assemblage;26.11.2018;Asia;Aghitu-3 Cave;Armenia;16.08.2016;
Agh-1/a;07.02.2012;Asia;Aghitu-1;Armenia;07.02.2012;
Agh-2/a-1;07.02.2012;Asia;Aghitu-2;Armenia;07.02.2012;
Agh-2/a-2;07.02.2012;Asia;Aghitu-2;Armenia;07.02.2012;
Agh-2/b;07.02.2012;Asia;Aghitu-2;Armenia;07.02.2012;
Aghitu-3 Cave Fauna Layer AH III;27.01.2020;Asia;Aghitu-3 Cave;Armenia;16.08.2016;
Aghitu-3 Cave Fauna Layer AH IV;27.01.2020;Asia;Aghitu-3 Cave;Armenia;16.08.2016;
Aghitu-3 Cave Fauna Layer AH V;27.01.2020;Asia;Aghitu-3 Cave;Armenia;16.08.2016;
Aghitu-3 Cave Fauna Layer AH VI;27.01.2020;Asia;Aghitu-3 Cave;Armenia;16.08.2016;
Aghitu-3 Cave Fauna Layer AH VII;27.01.2020;Asia;Aghitu-3 Cave;Armenia;16.08.2016;
Ang-1/a;07.02.2012;Asia;Angeghakot-1;Armenia;07.02.2012;
Ang-2/a;07.02.2012;Asia;Angeghakot-2;Armenia;07.02.2012;
Ash-1/a;07.02.2012;Asia;Ashotavan-1;Armenia;07.02.2012;
Ash-1/b-1;07.02.2012;Asia;Ashotavan-1;Armenia;07.02.2012;
Ash-1/b-2;07.02.2012;Asia;Ashotavan-1;Armenia;07.02.2012;
Ash-1/c-1;07.02.2012;Asia;Ashotavan-1;Armenia;07.02.2012;
Ash-1/c-2;21.02.2012;Asia;Ashotavan-1;Armenia;07.02.2012;
Ash-1/c-all;03.04.2018;Asia;Ashotavan-1;Armenia;07.02.2012;
Brn-1/b;07.02.2012;Asia;Brnakot-1;Armenia;07.02.2012;
Brn-2/a-1;07.02.2012;Asia;Brnakot-2;Armenia;07.02.2012;
Brn-2/a-2;07.02.2012;Asia;Brnakot-2;Armenia;07.02.2012;
Brn-2/a-all;26.03.2018;Asia;Brnakot-2;Armenia;07.02.2012;
Brn-2/b-1;07.02.2012;Asia;Brnakot-2;Armenia;07.02.2012;
Brn-2/b-2;07.02.2012;Asia;Brnakot-2;Armenia;07.02.2012;
Brn-2/b-3;07.02.2012;Asia;Brnakot-2;Armenia;07.02.2012;
Brn-2/b-all;26.03.2018;Asia;Brnakot-2;Armenia;07.02.2012;
Brn-2/c;07.02.2012;Asia;Brnakot-2;Armenia;07.02.2012;
Brn-2/d;07.02.2012;Asia;Brnakot-2;Armenia;07.02.2012;
Cultural layer archaeological assemblage;09.01.2023;Asia;Kalavan-1 open air;Armenia;16.08.2016;
Drb-2/b;07.02.2012;Asia;Darbas-2;Armenia;07.02.2012;
Drb-2/c;07.02.2012;Asia;Darbas-2;Armenia;07.02.2012;
Drb-2/d-1;07.02.2012;Asia;Darbas-2;Armenia;07.02.2012;
Drb-2/d-2;07.02.2012;Asia;Darbas-2;Armenia;07.02.2012;
Drb-2/d-all;26.03.2018;Asia;Darbas-2;Armenia;07.02.2012;
Drb-2/e;07.02.2012;Asia;Darbas-2;Armenia;07.02.2012;
Drb-2/f;07.02.2012;Asia;Darbas-2;Armenia;07.02.2012;
Lts-1/a;07.02.2012;Asia;Ltsen-1;Armenia;07.02.2012;
Lts-1/b;07.02.2012;Asia;Ltsen-1;Armenia;07.02.2012;
Lts-1/c;07.02.2012;Asia;Ltsen-1;Armenia;07.02.2012;
Lts-2/a;07.02.2012;Asia;Ltsen-2;Armenia;07.02.2012;
Lts-3/a-1;07.02.2012;Asia;Ltsen-3;Armenia;07.02.2012;
Lts-3/a-2;07.02.2012;Asia;Ltsen-3;Armenia;07.02.2012;
Lts-3/a-3;22.02.2012;Asia;Ltsen-3;Armenia;07.02.2012;
Lts-3/a-all;03.04.2018;Asia;Ltsen-3;Armenia;07.02.2012;
