"","assemblage.name","assemblage.category","country_continent.continent","locality.idlocality","locality.x","locality.y","query_age_min","query_age_max"
"106","Abri Pataud Level 2 human remains 5 (P5)","human remains","Europe","Abri Pataud",1.012781,44.936947,19130,22600
"107","Abri Pataud Level 2 human remains 6 (P6)","human remains","Europe","Abri Pataud",1.012781,44.936947,19130,22600
"108","Abri Pataud Level 2 human remains 7 (PX17)","human remains","Europe","Abri Pataud",1.012781,44.936947,19130,22600
"109","Mousterian (lithics)","raw material, technology, typology","Europe","Abri Pié Lombard",7.047115,43.700453,60000,115000
"110","Cro-Magnon 5-4","human remains","Europe","Abri de Cro-Magnon",1.009982,44.940108,11780,27950
"111","Cro-Magnon 5-3","human remains","Europe","Abri de Cro-Magnon",1.009982,44.940108,11780,27950
"112","Cro-Magnon 5-2","human remains","Europe","Abri de Cro-Magnon",1.009982,44.940108,11780,27950
"113","Cro-Magnon 5-1","human remains","Europe","Abri de Cro-Magnon",1.009982,44.940108,11780,27950
"114","Cro-Magnon 5","human remains","Europe","Abri de Cro-Magnon",1.009982,44.940108,11780,27950
"115","Cro-Magnon 4","human remains","Europe","Abri de Cro-Magnon",1.009982,44.940108,11780,27950
"116","Cro-Magnon 3","human remains","Europe","Abri de Cro-Magnon",1.009982,44.940108,11780,27950
"117","Cro-Magnon 2","human remains","Europe","Abri de Cro-Magnon",1.009982,44.940108,11780,27950
"118","Cro-Magnon 1","human remains","Europe","Abri de Cro-Magnon",1.009982,44.940108,11780,27950
"119","Chancelade man","human remains","Europe","Abri de Raymonden",0.673611,45.206944,-1,-1
"120","Abri du Facteur Unit 10 Fauna","animal remains, paleofauna","Europe","Abri du Facteur",1.055363,44.977295,25000,35000
"121","Abri du Facteur Unit 10-11 Archaeological Assemblage","feature, miscellaneous finds, organic tools, raw material, symbolic artifacts, technology, typology","Europe","Abri du Facteur",1.055363,44.977295,25000,35000
"122","Abri du Facteur Unit 15 Archaeological Assemblage","feature, raw material, symbolic artifacts, technology, typology","Europe","Abri du Facteur",1.055363,44.977295,25000,43000
"123","Abri du Facteur Unit 15 Fauna","animal remains, paleofauna","Europe","Abri du Facteur",1.055363,44.977295,25000,43000
"124","Abri du Facteur Unit 16 & 17 Fauna","animal remains, paleofauna","Europe","Abri du Facteur",1.055363,44.977295,30000,43000
"125","Abri du Facteur Unit 16 Archaeological Assemblage","raw material, technology, typology","Europe","Abri du Facteur",1.055363,44.977295,30000,43000
"126","Abri du Facteur Unit 17 Archaeological Assemblage","feature, miscellaneous finds, raw material, technology, typology","Europe","Abri du Facteur",1.055363,44.977295,30000,43000
"127","Abri du Facteur Unit 19 Archaeological Assemblage","feature, organic tools, raw material, technology, typology","Europe","Abri du Facteur",1.055363,44.977295,30000,43000
"128","Abri du Facteur Unit 19 Fauna","animal remains, paleofauna","Europe","Abri du Facteur",1.055363,44.977295,30000,43000
"129","Abri du Facteur Unit 21 Archaeological Assemblage","feature, organic tools, raw material, technology, typology","Europe","Abri du Facteur",1.055363,44.977295,30000,43000
"130","Abri du Facteur Unit 21 Fauna","animal remains, paleofauna","Europe","Abri du Facteur",1.055363,44.977295,30000,43000
"131","niveau 5","raw material, technology, typology","Europe","Abri du Maras",4.562827,44.312026,70000,95000
"132","niveau 3","raw material, technology, typology","Europe","Abri du Maras",4.562827,44.312026,30000,70000
"133","niveau 4","raw material, technology, typology","Europe","Abri du Maras",4.562827,44.312026,30000,70000
"134","level 5","organic tools","Europe","Abri du Maras",4.562827,44.312026,-1,-1
"135","level 4.2","miscellaneous finds, raw material, technology, typology","Europe","Abri du Maras",4.562827,44.312026,-1,-1
"136","level 4.1","organic tools, raw material, technology, typology","Europe","Abri du Maras",4.562827,44.312026,-1,-1
"137","niveau 2","raw material, technology, typology","Europe","Abri du Maras",4.562827,44.312026,30000,70000
"138","niveau 1","raw material, technology, typology","Europe","Abri du Maras",4.562827,44.312026,30000,70000
"139","niveau 8","raw material, technology, typology","Europe","Abri du Maras",4.562827,44.312026,80000,100000
"140","niveau 7","raw material, technology, typology","Europe","Abri du Maras",4.562827,44.312026,80000,100000
"141","niveau 6","raw material, technology, typology","Europe","Abri du Maras",4.562827,44.312026,80000,100000
"142","level 20c (Wernert)","typology","Europe","Achenheim",7.624766,48.578703,337000,374000
"143","level 20b (Wernert)","typology","Europe","Achenheim",7.624766,48.578703,337000,374000
"144","level 20a (Wernert)","technology, typology","Europe","Achenheim",7.624766,48.578703,243000,337000
"145","level 16 (Wernert)","raw material, technology, typology","Europe","Achenheim",7.624766,48.578703,130000,191000
"146","pollen sample G","plant remains","Europe","Achenheim",7.624766,48.578703,29000,71000
"147","pollen sample F","plant remains","Europe","Achenheim",7.624766,48.578703,71000,102500
"148","pollen sample E","plant remains","Europe","Achenheim",7.624766,48.578703,71000,102500
"149","pollen sample D","plant remains","Europe","Achenheim",7.624766,48.578703,71000,102500
"150","pollen sample C","plant remains","Europe","Achenheim",7.624766,48.578703,71000,102500
"151","pollen sample B","plant remains","Europe","Achenheim",7.624766,48.578703,116500,191000
"152","pollen sample A","plant remains","Europe","Achenheim",7.624766,48.578703,116500,191000
"153","level 9 (Wernert)","typology","Europe","Achenheim",7.624766,48.578703,29000,57000
"154","level 8 (Wernert)","raw material, typology","Europe","Achenheim",7.624766,48.578703,24000,57000
"155","level 20e (Wernert)","typology","Europe","Achenheim",7.624766,48.578703,374000,424000
"156","level 20(III) (Wernert)","typology","Europe","Achenheim",7.624766,48.578703,243000,300000
"157","level 20(II) (Wernert)","raw material, typology","Europe","Achenheim",7.624766,48.578703,243000,300000
"158","level 20(I) (Wernert)","typology","Europe","Achenheim",7.624766,48.578703,243000,300000
"159","level 20 (Wernert)","raw material, technology, typology","Europe","Achenheim",7.624766,48.578703,243000,300000
"160","level 19 (Wernert)","raw material, technology, typology","Europe","Achenheim",7.624766,48.578703,243000,300000
"161","level 18 (Wernert)","raw material, technology, typology","Europe","Achenheim",7.624766,48.578703,243000,300000
"162","level 17a (Wernert)","typology","Europe","Achenheim",7.624766,48.578703,191000,243000
"163","level 17 (Wernert)","technology, typology","Europe","Achenheim",7.624766,48.578703,191000,243000
"164","pollen sample H","plant remains","Europe","Achenheim",7.624766,48.578703,29000,71000
"165","level 15 (Wernert)","technology, typology","Europe","Achenheim",7.624766,48.578703,116500,191000
"166","level 14 (Wernert)","raw material, technology, typology","Europe","Achenheim",7.624766,48.578703,71000,102500
"167","Loess recent, Fauna","paleofauna","Europe","Achenheim",7.624766,48.578703,11700,29000
"168","Loess ancien sup., Micromammals","paleofauna","Europe","Achenheim",7.624766,48.578703,130000,300000
"169","Loess recent, Fauna","paleofauna","Europe","Achenheim",7.624766,48.578703,29000,71000
"170","Loess ancien moyen, Avifauna","paleofauna","Europe","Achenheim",7.624766,48.578703,243000,337000
"171","Loess ancien inf., Micromammals","paleofauna","Europe","Achenheim",7.624766,48.578703,337000,374000
"172","Loess ancien inf., Malacofauna","paleofauna","Europe","Achenheim",7.624766,48.578703,337000,374000
"173","Loess ancien inf., Fauna","paleofauna","Europe","Achenheim",7.624766,48.578703,337000,374000
"174","Loess ancien inf., Avifauna","paleofauna","Europe","Achenheim",7.624766,48.578703,337000,374000
"175","Loess recent, Micromammals","paleofauna","Europe","Achenheim",7.624766,48.578703,29000,71000
"176","Loess recent, Micromammals","paleofauna","Europe","Achenheim",7.624766,48.578703,11700,29000
"177","Loess recent, Malacofauna","paleofauna","Europe","Achenheim",7.624766,48.578703,29000,71000
"178","Loess recent, Malacofauna","paleofauna","Europe","Achenheim",7.624766,48.578703,11700,29000
"179","Loess ancien moyen, Fauna","paleofauna","Europe","Achenheim",7.624766,48.578703,243000,337000
"180","Loess ancien sup., Fauna","paleofauna","Europe","Achenheim",7.624766,48.578703,130000,300000
"181","Loess ancien sup., Avifauna","paleofauna","Europe","Achenheim",7.624766,48.578703,130000,300000
"182","Loess ancien moyen, Micromammals","paleofauna","Europe","Achenheim",7.624766,48.578703,243000,337000
"183","Loess ancien moyen, Malacofauna","paleofauna","Europe","Achenheim",7.624766,48.578703,243000,337000
"184","Adrar Bous Eolian Sands S140 Archaeological Assemblage","raw material, technology, typology","Africa","Adrar Bous",8.95,20.3,40000,150000
"185","Adrar Bous Eolian Sands S144 Archaeological Assemblage","raw material, technology, typology","Africa","Adrar Bous",8.95,20.3,40000,150000
"186","Adrar Bous Eolian Sands S52 Archaeological Assemblage","raw material, technology, typology","Africa","Adrar Bous",8.95,20.3,40000,150000
"187","Adrar Bous Eolian Sands S89 Archaeological Assemblage","raw material, technology, typology","Africa","Adrar Bous",8.95,20.3,40000,150000
"188","Adrar Bous Green Loam S142 Archaeological Assemblage","raw material, technology, typology","Africa","Adrar Bous",8.95,20.3,40000,200000
"189","Adrar Bous Green Loam S146 Archaeological Assemblage","raw material, technology, typology","Africa","Adrar Bous",8.95,20.3,40000,200000
"190","Adrar Bous Green Loam S151 Archaeological Assemblage","raw material, technology, typology","Africa","Adrar Bous",8.95,20.3,40000,200000
"191","Adrar Bous Green Loam S157 Archaeological Assemblage","raw material, technology, typology","Africa","Adrar Bous",8.95,20.3,40000,200000
"192","Adrar Bous Lower Mottled Sand S120 Archaeological Assemblage","raw material, technology, typology","Africa","Adrar Bous",8.95,20.3,200000,800000
"193","Adrar Bous Lower Mottled Sand S133/S144 Archaeological Assemblage","raw material, technology, typology","Africa","Adrar Bous",8.95,20.3,200000,800000
"194","Adrar Bous Lower Mottled Sand S161 Archaeological Assemblage","raw material, technology, typology","Africa","Adrar Bous",8.95,20.3,200000,800000
"195","Adrar Bous Lower Mottled Sand S63 Archaeological Assemblage","raw material, technology, typology","Africa","Adrar Bous",8.95,20.3,200000,800000
"196","Adrar Bous Lower Mottled Sand S162 Archaeological Assemblage","raw material, technology, typology","Africa","Adrar Bous",8.95,20.3,200000,800000
"197","Adrar Bous Lower Mottled Sand S57 Archaeological Assemblage","raw material, technology, typology","Africa","Adrar Bous",8.95,20.3,200000,800000
"198","Adrar Bous Eolian Sands S110 Archaeological Assemblage","raw material, technology, typology","Africa","Adrar Bous",8.95,20.3,40000,150000
"199","Adrar Bous Eolian Sands S112-116 Archaeological Assemblage","raw material, technology, typology","Africa","Adrar Bous",8.95,20.3,40000,150000
"200","Adrar Bous Eolian Sands S123 Archaeological Assemblage","raw material, technology, typology","Africa","Adrar Bous",8.95,20.3,40000,150000
"201","Adrar Bous Eolian Sands S139 Archaeological Assemblage","raw material, technology, typology","Africa","Adrar Bous",8.95,20.3,40000,150000
"202","B1-B2 horizon archaeological assemblage",NA,"Asia","Afontova Gora II",92.82278,56.01083,0,13450
"203","C1-C2 horizon archaeological assemblage",NA,"Asia","Afontova Gora II",92.82278,56.01083,13000,15000
"204","AG II human remains 1","human remains","Asia","Afontova Gora II",92.82278,56.01083,13000,15000
"205","AG II human remains 2","human remains","Asia","Afontova Gora II",92.82278,56.01083,13000,15000
"206","AG II human remains 3","human remains","Asia","Afontova Gora II",92.82278,56.01083,13160,14425
"207","AG II human remains 4","human remains","Asia","Afontova Gora II",92.82278,56.01083,13160,14425
"208","C3 horizon archaeological assemblage","organic tools, raw material, symbolic artifacts, technology, typology","Asia","Afontova Gora II",92.82278,56.01083,13000,15000
"209","Aggsbach_Fundstelle A assemblage","feature, miscellaneous finds, raw material, technology, typology","Europe","Aggsbach_Fundstelle A",15.400185,48.29323,25000,35000
"210","Aggsbach_Fundstelle B assemblage AH I","organic tools, raw material, technology, typology","Europe","Aggsbach_Fundstelle B",15.400185,48.29323,25000,35000
"211","Aggsbach_Fundstelle B assemblage AH II","feature, human remains, miscellaneous finds, organic tools, raw material, symbolic artifacts, technology, typology","Europe","Aggsbach_Fundstelle B",15.400185,48.29323,25000,35000
"212","Agh-1/a","plant remains","Asia","Aghitu-1",46.080093,39.523528,781000,1800000
"213","Agh-2/a-2","plant remains","Asia","Aghitu-2",46.068284,39.513793,781000,1800000
"214","Agh-2/b","plant remains","Asia","Aghitu-2",46.068284,39.513793,781000,1800000
"215","Agh-2/a-1","plant remains","Asia","Aghitu-2",46.068284,39.513793,781000,1800000
"216","Aghitu-3 Cave Fauna Layer AH V","animal remains, paleofauna","Asia","Aghitu-3 Cave",46.082183,39.513732,25700,27000
"217","Aghitu-3 Cave Fauna Layer AH VI","animal remains, paleofauna","Asia","Aghitu-3 Cave",46.082183,39.513732,27500,32000
"218","Aghitu-3 Cave Fauna Layer AH VII","animal remains, paleofauna","Asia","Aghitu-3 Cave",46.082183,39.513732,30000,34500
"219","AH III assemblage","feature, miscellaneous finds, organic tools, raw material, symbolic artifacts, technology, typology","Asia","Aghitu-3 Cave",46.082183,39.513732,20000,25000
